"Index Name","Date","Open","High","Low","Close"
"NIFTY50 USD","26 Mar 2025","-","-","-","9494.48"
"NIFTY50 USD","25 Mar 2025","-","-","-","9562.68"
"NIFTY50 USD","24 Mar 2025","-","-","-","9572.32"
"NIFTY50 USD","21 Mar 2025","-","-","-","9410.50"
"NIFTY50 USD","20 Mar 2025","-","-","-","9302.70"
"NIFTY50 USD","19 Mar 2025","-","-","-","9182.92"
"NIFTY50 USD","18 Mar 2025","-","-","-","9141.10"
"NIFTY50 USD","17 Mar 2025","-","-","-","8985.22"
"NIFTY50 USD","13 Mar 2025","-","-","-","8919.11"
"NIFTY50 USD","12 Mar 2025","-","-","-","8927.97"
"NIFTY50 USD","11 Mar 2025","-","-","-","8937.76"
"NIFTY50 USD","10 Mar 2025","-","-","-","8911.47"
"NIFTY50 USD","07 Mar 2025","-","-","-","8994.26"
"NIFTY50 USD","06 Mar 2025","-","-","-","8966.91"
"NIFTY50 USD","05 Mar 2025","-","-","-","8900.64"
"NIFTY50 USD","04 Mar 2025","-","-","-","8767.39"
"NIFTY50 USD","03 Mar 2025","-","-","-","8773.52"
"NIFTY50 USD","28 Feb 2025","-","-","-","8761.01"
"NIFTY50 USD","27 Feb 2025","-","-","-","8958.55"
"NIFTY50 USD","25 Feb 2025","-","-","-","8959.04"
"NIFTY50 USD","24 Feb 2025","-","-","-","9012.17"
"NIFTY50 USD","21 Feb 2025","-","-","-","9109.41"
"NIFTY50 USD","20 Feb 2025","-","-","-","9161.15"
"NIFTY50 USD","19 Feb 2025","-","-","-","9137.69"
"NIFTY50 USD","18 Feb 2025","-","-","-","9142.64"
"NIFTY50 USD","17 Feb 2025","-","-","-","9157.24"
"NIFTY50 USD","14 Feb 2025","-","-","-","9149.78"
"NIFTY50 USD","13 Feb 2025","-","-","-","9182.75"
"NIFTY50 USD","12 Feb 2025","-","-","-","9190.24"
"NIFTY50 USD","11 Feb 2025","-","-","-","9206.79"
"NIFTY50 USD","10 Feb 2025","-","-","-","9260.97"
"NIFTY50 USD","07 Feb 2025","-","-","-","9336.81"
"NIFTY50 USD","06 Feb 2025","-","-","-","9337.58"
"NIFTY50 USD","05 Feb 2025","-","-","-","9387.35"
"NIFTY50 USD","04 Feb 2025","-","-","-","9446.21"
"NIFTY50 USD","03 Feb 2025","-","-","-","9283.48"
"NIFTY50 USD","01 Feb 2025","-","-","-","9393.80"
"NIFTY50 USD","31 Jan 2025","-","-","-","9404.31"
