date,close,eps,pe,bv,pb,div-yield %
2021-06-30,15721.5,554.94,28.33,3707.9,4.24,1.26
2021-05-31,15582.8,533.29,29.22,3549.61,4.39,1.06
2021-04-30,14631.1,454.24,32.21,3491.91,4.19,1.0
2021-03-31,14690.7,442.49,33.2,3497.79,4.2,0.96
2021-02-26,14529.15,366.44,39.65,3526.49,4.12,1.09
2021-01-29,13634.6,372.84,36.57,3532.28,3.86,1.16
2020-12-31,13981.75,363.63,38.45,3530.74,3.96,1.14
2020-11-27,12968.95,363.68,35.66,3533.77,3.67,1.22
2020-10-30,11642.4,364.97,31.9,3528.0,3.3,1.36
2020-09-30,11247.55,344.07,32.69,3525.88,3.19,1.41
2020-08-31,11387.5,352.66,32.29,3558.59,3.2,1.46
2020-07-31,11073.45,366.67,30.2,3549.18,3.12,1.49
2020-06-30,10302.1,391.42,26.32,3504.12,2.94,1.55
2020-05-29,9580.3,428.07,22.38,3509.27,2.73,1.59
2020-04-30,9859.9,441.16,22.35,3508.86,2.81,1.54
2020-03-31,8597.75,443.64,19.38,3509.29,2.45,1.77
2020-02-28,11201.75,439.46,25.49,3556.11,3.15,1.36
2020-01-31,11962.1,452.94,26.41,3549.58,3.37,1.27
2019-12-31,12168.45,429.98,28.3,3244.92,3.75,1.24
2019-11-29,12056.05,429.04,28.1,3240.87,3.72,1.24
2019-10-31,11877.45,433.8,27.38,3236.36,3.67,1.26
2019-09-30,11474.45,433.98,26.44,3250.55,3.53,1.31
2019-08-30,11023.25,404.23,27.27,3290.52,3.35,1.39
2019-07-31,11118.0,405.47,27.42,3222.61,3.45,1.33
2019-06-28,11788.85,406.79,28.98,3177.59,3.71,1.24
2019-05-31,11922.8,404.3,29.49,3129.34,3.81,1.22
2019-04-30,11748.15,400.55,29.33,3124.51,3.76,1.12
2019-03-29,11623.9,400.69,29.01,3133.13,3.71,1.13
2019-02-28,10792.5,410.05,26.32,3164.96,3.41,1.25
2019-01-31,10830.95,412.45,26.26,3213.93,3.37,1.25
2018-12-31,10862.55,415.08,26.17,3213.77,3.38,1.24
2018-11-30,10876.75,413.41,26.31,3161.85,3.44,1.22
2018-10-31,10386.6,415.46,25.0,3157.02,3.29,1.27
2018-09-28,10930.45,413.41,26.44,3149.99,3.47,1.23
2018-08-31,11680.5,411.29,28.4,3106.52,3.76,1.15
2018-07-31,11356.5,402.43,28.22,3069.32,3.7,1.18
2018-06-29,10714.3,413.68,25.9,2967.95,3.61,1.22
2018-05-31,10736.15,394.86,27.19,2909.53,3.69,1.23
2018-04-30,10739.35,402.83,26.66,2910.39,3.69,1.19
2018-03-28,10113.7,410.13,24.66,2957.22,3.42,1.29
2018-02-28,10492.85,408.6,25.68,2964.08,3.54,1.13
2018-01-31,11027.7,401.01,27.5,2956.49,3.73,1.03
2017-12-29,10530.0,391.16,26.92,2966.2,3.55,1.08
2017-11-30,10226.0,390.9,26.16,2964.06,3.45,1.11
2017-10-31,10335.0,391.77,26.38,2961.32,3.49,1.08
2017-09-29,9788.6,384.92,25.43,2921.97,3.35,1.17
2017-08-31,9917.9,387.12,25.62,2841.81,3.49,0.94
2017-07-31,10077.0,392.25,25.69,2870.94,3.51,0.95
2017-06-30,9520.9,392.94,24.23,2704.8,3.52,1.12
2017-05-31,9621.2,395.12,24.35,2657.79,3.62,1.19
2017-04-28,9304.0,393.74,23.63,2620.85,3.55,1.23
2017-03-31,9173.7,394.4,23.26,2621.06,3.5,1.25
2017-02-28,8879.6,383.9,23.13,2634.9,3.37,1.25
2017-01-31,8561.3,374.51,22.86,2634.25,3.25,1.29
2016-12-30,8185.8,373.27,21.93,2640.58,3.1,1.35
2016-11-30,8224.5,380.59,21.61,2636.06,3.12,1.34
2016-10-30,8625.7,370.04,23.31,2637.83,3.27,1.28
2016-09-30,8611.1,368.0,23.4,2633.36,3.27,1.29
2016-08-31,8786.2,364.72,24.09,2614.94,3.36,1.22
2016-07-29,8638.5,365.73,23.62,2555.77,3.38,1.27
