date,close,eps,pe,book-value,pb,div-yield %
2019-09-30,29103.15,748.73,38.87,9479.85,3.07,0.34
2019-08-30,27427.85,458.51,59.82,9234.97,2.97,0.36
2019-07-31,28876.0,458.49,62.98,9225.56,3.13,0.35
2019-06-28,31105.2,462.26,67.29,9230.03,3.37,0.41
2019-05-31,31375.4,483.22,64.93,8888.22,3.53,0.40
2019-04-30,29764.8,474.04,62.79,8885.01,3.35,0.42
2019-03-29,30426.8,469.4,64.82,8949.06,3.4,0.42
2019-02-28,26789.9,496.57,53.95,8698.02,3.08,0.47
2019-01-31,27295.45,496.55,54.97,8692.82,3.14,0.46
2018-12-31,27160.2,497.35,54.61,8705.19,3.12,0.46
2018-11-30,26862.95,498.11,53.93,8750.15,3.07,0.47
2018-10-31,25153.25,468.23,53.72,8825.7,2.85,0.50
2018-09-28,25119.85,468.22,53.65,8813.98,2.85,0.50
2018-08-31,28061.75,477.16,58.81,8936.86,3.14,0.45
2018-07-31,27764.15,519.25,53.47,8870.34,3.13,0.45
2018-06-29,26364.2,646.66,40.77,8876.84,2.97,0.47
2018-05-31,26956.2,766.45,35.17,8294.22,3.25,0.54
2018-04-30,25531.6,811.3,31.47,8236.0,3.1,0.57
2018-03-28,24263.35,819.98,29.59,8543.43,2.84,0.60
2018-02-28,25107.4,821.58,30.56,8539.93,2.94,0.18
2018-01-31,27379.45,887.79,30.84,8529.42,3.21,0.16
2017-12-29,25539.45,863.69,29.57,8599.14,2.97,0.18
2017-11-30,25332.4,866.36,29.24,8587.25,2.95,0.18
2017-10-31,25019.35,901.6,27.75,8597.71,2.91,0.18
2017-09-29,24053.0,877.53,27.41,8590.36,2.8,0.19
2017-08-31,24318.4,893.73,27.21,8685.14,2.8,0.19
2017-07-31,25103.65,883.31,28.42,8626.68,2.91,0.21
2017-06-30,23211.2,889.32,26.1,8289.71,2.8,0.32
2017-05-31,23424.8,795.41,29.45,7860.67,2.98,0.60
2017-04-28,22358.25,728.52,30.69,7709.74,2.9,0.67
2017-03-31,21444.15,731.38,29.32,7741.57,2.77,0.70
2017-02-28,20607.25,704.52,29.25,7805.78,2.64,0.73
2017-01-31,19515.15,662.65,29.45,7837.41,2.49,0.77
2016-12-30,18177.2,666.08,27.29,7835.0,2.32,0.83
2016-11-30,18627.8,665.99,27.97,7826.81,2.38,0.81
2016-10-30,19523.55,644.34,30.3,7904.27,2.47,0.78
2016-09-30,19285.7,666.17,28.95,7903.98,2.44,0.79
2016-08-31,19787.6,677.43,29.21,7915.04,2.5,0.77
2016-07-29,18953.15,706.68,26.82,7930.19,2.39,0.81
2016-06-30,17935.4,695.17,25.8,7567.68,2.37,0.83
2016-05-31,17620.9,695.1,25.35,7076.67,2.49,1.10
2016-04-29,16795.0,915.26,18.35,7086.5,2.37,1.16
2016-03-31,16141.65,899.76,17.94,7110.86,2.27,1.21
2016-02-29,13946.4,899.77,15.5,7115.51,1.96,1.40
2016-01-29,15522.4,963.53,16.11,7087.85,2.19,1.25
2015-12-31,16922.2,956.6,17.69,7080.42,2.39,1.15
2015-11-30,17430.4,957.19,18.21,7085.53,2.46,1.12
2015-10-30,17354.5,965.21,17.98,7141.77,2.43,1.13
2015-09-30,17216.3,953.28,18.06,7203.47,2.39,1.14
2015-08-31,17146.55,954.71,17.96,7204.43,2.38,1.15
