date,p/e,p/b,div yield %,close,eps
31-May-18,27.19,3.69,1.23,10736.15,394.857
30-Apr-18,26.66,3.69,1.19,10739.35,402.826
28-Mar-18,24.66,3.42,1.29,10113.7,410.126
28-Feb-18,25.68,3.54,1.13,10492.85,408.6
31-Jan-18,27.5,3.73,1.03,11027.7,401.007
29-Dec-17,26.92,3.55,1.08,10530.0,391.159
30-Nov-17,26.16,3.45,1.11,10226.0,390.902
31-Oct-17,26.38,3.49,1.08,10335.0,391.774
29-Sep-17,25.43,3.35,1.17,9788.6,384.923
31-Aug-17,25.62,3.49,0.94,9917.9,387.116
31-Jul-17,25.69,3.51,0.95,10077.0,392.254
30-Jun-17,24.23,3.52,1.12,9520.9,392.939
31-May-17,24.35,3.62,1.19,9621.2,395.121
28-Apr-17,23.63,3.55,1.23,9304.0,393.737
31-Mar-17,23.26,3.5,1.25,9173.7,394.398
28-Feb-17,23.13,3.37,1.25,8879.6,383.9
31-Jan-17,22.86,3.25,1.29,8561.3,374.51
30-Dec-16,21.93,3.1,1.35,8185.8,373.269
30-Nov-16,21.61,3.12,1.34,8224.5,380.588
30-Oct-16,23.31,3.27,1.28,8625.7,370.043
30-Sep-16,23.4,3.27,1.29,8611.1,367.996
31-Aug-16,24.09,3.36,1.22,8786.2,364.724
29-Jul-16,23.62,3.38,1.27,8638.5,365.728
30-Jun-16,22.75,3.37,1.25,8287.7,364.295
31-May-16,22.6,3.4,1.32,8160.1,361.066
29-Apr-16,21.24,3.27,1.37,7849.8,369.576
31-Mar-16,20.89,3.1,1.49,7738.4,370.436
29-Feb-16,18.9,2.81,1.66,6987.0,369.683
29-Jan-16,20.22,3.03,1.53,7563.5,374.06
31-Dec-15,21.49,3.19,1.46,7946.3,369.767
30-Nov-15,21.45,3.19,1.43,7935.2,369.939
30-Oct-15,22.06,3.23,1.41,8065.8,365.63
30-Sep-15,22.21,3.22,1.46,7948.9,357.897
31-Aug-15,22.08,3.21,1.48,7971.3,361.019
31-Jul-15,23.53,3.5,1.41,8532.8,362.635
30-Jun-15,23.19,3.48,1.44,8368.5,360.867
29-May-15,23.12,3.66,1.39,8433.6,364.775
30-Apr-15,22.07,3.53,1.45,8181.5,370.707
31-Mar-15,22.7,3.65,1.28,8491.0,374.053
28-Feb-15,23.8,3.78,1.24,8901.8,374.025
30-Jan-15,22.48,3.71,1.2,8808.9,391.855
31-Dec-14,21.16,3.49,1.27,8282.7,391.432
28-Nov-14,21.94,3.63,1.23,8588.2,391.44
31-Oct-14,21.58,3.51,1.27,8322.2,385.644
30-Sep-14,20.82,3.43,1.31,7964.8,382.555
28-Aug-14,20.8,3.46,1.27,7954.3,382.418
31-Jul-14,20.56,3.48,1.3,7721.3,375.55
30-Jun-14,20.65,3.48,1.29,7611.3,368.586
30-May-14,19.82,3.43,1.34,7229.9,364.778
30-Apr-14,18.79,3.23,1.37,6696.4,356.381
31-Mar-14,18.86,3.23,1.37,6704.2,355.472
28-Feb-14,17.67,2.97,1.49,6276.9,355.229
31-Jan-14,17.7,2.88,1.54,6089.5,344.04
31-Dec-13,18.7,2.99,1.48,6304.0,337.112
29-Nov-13,18.38,2.93,1.51,6176.1,336.023
31-Oct-13,18.18,2.99,1.46,6299.1,346.485
30-Sep-13,16.82,2.77,1.56,5735.3,340.981
30-Aug-13,15.77,2.71,1.54,5471.8,346.975
31-Jul-13,17.05,2.84,1.47,5742.0,336.774
28-Jun-13,17.76,3.04,1.43,5842.2,328.953
31-May-13,17.95,3.16,1.39,5985.9,333.476
30-Apr-13,17.85,3.13,1.4,5930.2,332.224
28-Mar-13,17.57,3.01,1.46,5682.5,323.421
28-Feb-13,17.66,3.03,1.44,5693.0,322.367
31-Jan-13,18.5,3.2,1.37,6034.7,326.2
